X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96
22,1,19.3,3,1,2,2,1,2,1,0,0,0,61,1,6,1,1,1,1,1,20,0,-1,0,1,0,0,0,0,0,1,25000,1,114000,4,1500,8000,8000,8000,8000,36,18,83,14,7,7,13,8,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
23,1,14.83333333,1,3,3,2,2,2,2,0,0,0,43,1,4,1,1,3,1,1,7.5,0,-1,0,3,0,0,1,1,1,1,60000,4,220000,5,500,200,150,1000,2000,30,10,9,8,9,9,9,9,3,5,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
24,1,20.46666666,1,2,4,0,0,2,1,1,2,0,48,2,6,1,0,0,2,1,14,0,-1,0,3,0,0,1,0,0,1,30000,3,66000,4,500,1000,1200,1500,2000,260,48,27,44,36,29,29,20,3,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
25,1,14.1,1,1,2,3,2,2,0,0,0,0,62,2,4,1,1,1,3,0,-1,1,100,2,0,1,0,0,0,0,1,45000,1,49000,2,0,0,0,0,0,73,51,37,37,27,33,47,28,1,2,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
26,1,10.4,1,2,1,1,0,1,1,0,0,0,44,2,5,1,1,1,1,0,-1,0,-1,0,0,0,0,0,0,0,1,55000,1,70000,3,1500,3000,3000,0,0,27,7,13,6,9,9,9,7,1,3,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
27,1,14.11666667,5,1,2,1,1,1,1,1,0,0,31,1,2,1,1,1,1,1,2,0,-1,0,1,0,0,0,0,0,1,46000,4,57000,3,5000,1000,1000,1000,1000,24,13,7,9,9,7,7,8,1,3,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
28,1,14,5,1,4,1,6,2,1,1,2,0,41,2,6,1,1,1,2,1,0,0,-1,0,8,0,0,1,0,0,1,42000,4,137000,2,0,0,0,0,0,46,36,50,31,26,25,21,24,1,5,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
29,1,25.63333333,1,1,3,1,1,2,2,0,1,0,25,2,7,1,1,1,1,1,24,0,-1,0,3,0,0,1,1,0,1,35000,4,61000,4,800,500,500,600,500,99,29,21,9,10,9,8,11,3,2,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
30,1,36.8,1,1,2,1,0,1,1,0,0,0,51,1,3,1,1,1,1,1,25,0,-1,0,1,0,0,0,0,0,1,40000,4,74000,4,250,0,1000,1500,2000,94,20,23,16,11,14,16,17,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
31,1,4.900000003,1,2,1,0,1,1,1,0,0,0,34,1,6,1,0,0,1,1,55,0,-1,0,3,0,0,1,0,0,1,28000,3,86000,2,0,0,0,0,0,25,10,27,15,15,10,11,9,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
32,1,17.76666667,1,1,4,2,2,2,2,0,0,0,31,2,6,0,1,1,1,0,-1,0,-1,0,0,0,0,0,0,0,1,22000,3,50000,4,0,0,0,0,0,33,6,5,18,17,8,8,5,1,3,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
33,1,15.31666666,5,1,4,1,0,2,2,0,0,0,34,2,6,1,1,1,1,1,10,0,-1,0,3,0,0,1,0,0,1,10000,4,69000,4,2000,4000,5000,7000,10000,35,11,7,21,10,42,9,9,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
34,1,11.68333333,1,1,5,2,3,3,4,4,0,0,58,1,4,1,1,1,1,1,25,0,-1,0,3,0,0,0,0,0,1,38000,1,279000,2,1000,1000,1000,1000,1000,71,9,10,6,17,10,8,7,1,1,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
35,1,148.65,1,7,3,1,2,2,1,0,1,0,48,1,6,1,1,1,1,0,-1,0,-1,0,0,0,0,1,1,0,1,66000,3,135000,4,2800,3000,1500,4000,5000,315,32,25,10,20,1440,23,17,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
36,1,15.51666667,2,7,2,1,1,2,2,0,0,0,56,1,7,1,1,1,1,1,20,0,-1,0,1,0,0,0,0,0,1,45000,4,150000,5,0,0,0,0,2000,67,10,19,11,13,10,14,8,1,5,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
37,1,15.34999999,1,2,1,1,0,1,1,0,0,0,34,2,6,1,1,1,1,1,20,0,-1,0,1,0,0,0,0,0,1,64000,5,68000,5,1000,250,500,3000,5000,103,20,13,10,16,15,39,12,2,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
38,1,11.06666667,4,1,2,1,2,1,1,0,1,0,52,2,6,1,1,1,1,1,25,0,-1,0,1,0,0,0,0,0,1,51000,3,75000,4,1500,3000,3000,5000,6000,55,32,22,16,54,8,20,11,3,3,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
39,1,19.51666667,5,4,4,1,1,2,1,0,1,0,46,2,7,1,1,1,6,0,-1,1,10,4,0,1,0,0,0,0,1,35000,4,85000,3,1000,2000,3000,4000,5000,171,61,86,26,22,14,18,10,1,2,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
40,1,12.78333333,1,5,4,1,2,2,1,1,1,0,34,1,3,1,1,1,1,1,8,0,-1,0,3,0,0,0,0,0,1,35000,2,89000,2,0,0,0,0,0,74,13,12,17,9,28,66,19,1,3,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
41,1,13.46666666,1,2,1,1,0,1,1,0,0,0,29,2,7,1,1,1,1,1,30,0,-1,0,3,0,1,1,1,1,1,49000,5,240000,5,100,100,100,100,100,22,9,15,7,7,7,8,12,1,5,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
42,1,14.95,1,1,3,2,1,2,2,0,0,0,34,2,5,1,1,1,1,1,5,0,-1,0,1,0,0,1,0,0,1,55000,3,134000,1,2000,2500,0,0,0,67,43,29,26,22,12,13,11,2,5,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
43,1,14.04999999,1,2,3,1,1,1,2,0,0,0,40,1,4,1,1,1,1,1,20,0,-1,0,1,0,0,0,0,0,1,15000,4,49000,4,1000,1500,1500,1000,1000,56,19,22,23,13,14,12,12,2,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
44,1,12.41666667,1,1,2,2,0,2,1,0,0,0,56,2,2,1,1,1,1,1,10,0,-1,0,3,0,0,0,0,0,1,19000,1,50000,3,0,0,0,0,0,64,21,24,25,13,22,16,18,1,5,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
45,1,17.51666666,1,1,1,1,1,1,1,0,0,0,50,1,2,1,1,1,1,1,15,0,-1,0,1,0,0,0,0,0,1,24000,1,25000,2,100,100,100,200,250,50,34,9,14,16,8,21,8,2,2,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
46,1,9.250000004,1,5,1,1,1,1,1,0,0,0,28,2,6,1,1,3,1,1,25.7,0,-1,0,3,0,0,0,0,0,1,23000,4,57000,4,500,1500,1000,2000,0,21,17,16,13,24,29,11,11,1,5,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
47,1,12.71666667,1,5,4,1,1,1,1,0,3,0,46,1,7,1,1,1,1,0,-1,0,-1,0,0,0,0,0,0,0,1,30000,4,132000,2,0,0,0,0,0,61,44,28,50,18,21,36,23,1,5,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
48,1,6.616666663,1,4,3,1,0,2,1,1,1,0,40,2,6,1,1,1,2,1,0.2,0,-1,0,7,0,0,0,0,0,1,41000,3,109000,2,0,1000,0,0,0,25,12,9,7,20,8,8,6,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
49,1,9.300000005,1,1,3,2,1,2,2,0,1,0,40,1,7,1,1,1,1,1,20,0,-1,0,1,0,0,0,0,0,1,58000,4,336000,3,1000,1500,1500,1000,1000,121,8,10,53,8,9,17,8,4,3,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
50,1,12,1,4,5,1,3,2,1,2,3,0,50,1,7,1,1,1,2,1,20,0,-1,0,1,0,0,1,1,0,1,5000,3,61000,5,1000,1000,1000,2000,3000,37,28,19,36,11,21,11,16,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
51,1,29.13333333,2,1,4,1,2,2,2,1,2,0,50,2,5,1,1,1,1,1,45,0,-1,0,3,0,0,1,0,0,1,32000,2,75000,3,100,100,2.99,100,100,35,72,40,492,10,26,17,76,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
52,1,15.3,1,2,3,1,2,1,1,0,0,0,23,2,5,0,1,1,4,0,-1,0,-1,0,0,0,0,1,0,0,1,35000,3,31000,3,500,1000,1000,1000,2000,21,41,15,13,16,27,22,13,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
53,1,12.3,1,1,5,2,3,4,4,1,1,0,26,2,6,1,1,3,1,1,4,0,-1,0,3,0,0,0,1,1,1,13000,3,116000,3,1000,1500,2000,2400,4000,43,29,18,23,14,20,9,16,3,2,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
54,1,9.766666676,4,1,3,2,0,2,1,0,0,1,32,2,6,1,1,2,1,1,20,0,-1,0,1,0,0,0,0,0,1,16000,2,98000,2,0,0,0,0,0,54,26,6,10,6,7,5,6,4,1,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
55,1,11.11666667,1,1,2,1,1,2,0,1,0,0,63,2,7,1,1,2,2,0,-1,0,-1,0,0,0,0,0,0,0,1,25000,2,150000,3,500,500,750,0,0,31,23,27,37,34,44,26,16,1,5,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
56,1,13.45,1,6,1,1,0,0,0,1,0,0,63,2,4,1,0,0,2,1,100,0,-1,0,8,0,0,0,0,0,0,20000,5,15000,4,1300,5000,6000,16000,16000,35,27,11,16,12,11,11,10,1,2,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
57,1,16.99999999,4,7,2,1,1,2,2,0,0,0,28,2,7,1,1,1,1,1,55,0,-1,0,4,0,0,1,0,0,1,45000,3,140000,5,0,1000,1000,5000,6000,152,36,12,26,13,12,32,9,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
58,1,6.983333331,1,1,3,1,1,1,1,0,0,0,50,1,5,1,1,1,1,1,3,0,-1,0,1,0,0,0,0,0,1,27000,3,26000,3,0,0,0,0,0,14,15,11,5,44,5,7,6,1,3,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
59,1,6.600000003,1,1,2,1,0,1,1,0,0,0,29,1,5,1,1,1,1,1,50,0,-1,0,1,0,0,1,1,0,1,69000,4,231000,3,44,44,77,66,55,8,4,4,4,237,3,4,3,2,3,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
60,1,17.73333333,5,1,3,1,1,3,1,2,0,0,53,2,5,1,1,1,1,0,-1,0,-1,0,0,0,0,0,0,0,1,35000,1,88000,4,1000,2500,3000,5000,6000,86,48,43,30,16,27,13,19,4,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
