CS,ALT,ID,PURPOSE,AV,TT,COST,SM_TT,SM_CO,CAR_TT,CAR_CO,CHOICE_OLD,CHOICE
25,1,3,1,1,51,29,27,32,84,50,2,0
25,2,3,1,1,27,32,27,32,84,50,2,1
25,3,3,1,1,84,50,27,32,84,50,2,0
26,1,3,1,1,51,32,27,40,105,50,2,0
26,2,3,1,1,27,40,27,40,105,50,2,1
26,3,3,1,1,105,50,27,40,105,50,2,0
27,1,3,1,1,58,38,27,42,84,65,2,0
27,2,3,1,1,27,42,27,42,84,65,2,1
27,3,3,1,1,84,65,27,42,84,65,2,0
28,1,4,1,1,138,40,65,45,135,80,2,0
28,2,4,1,1,65,45,65,45,135,80,2,1
28,3,4,1,1,135,80,65,45,135,80,2,0
29,1,4,1,1,138,40,61,52,175,130,2,0
29,2,4,1,1,61,52,61,52,175,130,2,1
29,3,4,1,1,175,130,61,52,175,130,2,0
30,1,4,1,1,138,36,58,49,175,100,2,0
30,2,4,1,1,58,49,58,49,175,100,2,1
30,3,4,1,1,175,100,58,49,175,100,2,0
31,1,4,1,1,105,36,58,49,108,130,2,0
31,2,4,1,1,58,49,58,49,108,130,2,1
31,3,4,1,1,108,130,58,49,108,130,2,0
32,1,4,1,1,116,40,58,46,175,80,2,0
32,2,4,1,1,58,46,58,46,175,80,2,1
32,3,4,1,1,175,80,58,46,175,80,2,0
33,1,4,1,1,116,36,61,42,108,100,2,0
33,2,4,1,1,61,42,61,42,108,100,2,1
33,3,4,1,1,108,100,61,42,108,100,2,0
34,1,4,1,1,116,48,58,50,108,80,2,0
34,2,4,1,1,58,50,58,50,108,80,2,1
34,3,4,1,1,108,80,58,50,108,80,2,0
35,1,4,1,1,138,48,61,52,108,130,2,0
35,2,4,1,1,61,52,61,52,108,130,2,1
35,3,4,1,1,108,130,61,52,108,130,2,0
36,1,4,1,1,116,40,61,52,135,100,2,0
36,2,4,1,1,61,52,61,52,135,100,2,1
36,3,4,1,1,135,100,61,52,135,100,2,0
37,1,5,1,1,269,70,216,72,0,0,2,0
37,2,5,1,1,216,72,216,72,0,0,2,1
37,3,5,1,0,0,0,216,72,0,0,2,0
38,1,5,1,1,243,70,213,70,0,0,2,0
38,2,5,1,1,213,70,213,70,0,0,2,1
38,3,5,1,0,0,0,213,70,0,0,2,0
39,1,5,1,1,320,70,220,74,0,0,2,0
39,2,5,1,1,220,74,220,74,0,0,2,1
39,3,5,1,0,0,0,220,74,0,0,2,0
40,1,5,1,1,243,58,216,66,0,0,2,0
40,2,5,1,1,216,66,216,66,0,0,2,1
40,3,5,1,0,0,0,216,66,0,0,2,0
41,1,5,1,1,320,52,216,57,0,0,2,0
41,2,5,1,1,216,57,216,57,0,0,2,1
41,3,5,1,0,0,0,216,57,0,0,2,0
42,1,5,1,1,269,52,213,62,0,0,2,0
42,2,5,1,1,213,62,213,62,0,0,2,1
42,3,5,1,0,0,0,213,62,0,0,2,0
43,1,5,1,1,243,70,220,74,0,0,2,0
43,2,5,1,1,220,74,220,74,0,0,2,1
43,3,5,1,0,0,0,220,74,0,0,2,0
44,1,5,1,1,243,52,220,57,0,0,2,0
44,2,5,1,1,220,57,220,57,0,0,2,1
44,3,5,1,0,0,0,220,57,0,0,2,0
45,1,5,1,1,320,58,213,64,0,0,2,0
45,2,5,1,1,213,64,213,64,0,0,2,1
45,3,5,1,0,0,0,213,64,0,0,2,0
46,1,6,1,1,116,35,46,38,70,35,2,0
46,2,6,1,1,46,38,46,38,70,35,2,1
46,3,6,1,1,70,35,46,38,70,35,2,0
47,1,6,1,1,95,26,49,29,91,28,2,0
47,2,6,1,1,49,29,49,29,91,28,2,1
47,3,6,1,1,91,28,49,29,91,28,2,0
48,1,6,1,1,116,26,53,32,56,28,2,0
48,2,6,1,1,53,32,53,32,56,28,2,1
48,3,6,1,1,56,28,53,32,56,28,2,0
49,1,6,1,1,102,26,53,32,91,45,2,0
49,2,6,1,1,53,32,53,32,91,45,2,1
49,3,6,1,1,91,45,53,32,91,45,2,0
50,1,6,1,1,102,29,53,32,56,45,2,0
50,2,6,1,1,53,32,53,32,56,45,2,1
50,3,6,1,1,56,45,53,32,56,45,2,0
51,1,6,1,1,95,29,53,32,91,35,2,0
51,2,6,1,1,53,32,53,32,91,35,2,1
51,3,6,1,1,91,35,53,32,91,35,2,0
52,1,6,1,1,95,35,49,40,70,28,2,0
52,2,6,1,1,49,40,49,40,70,28,2,1
52,3,6,1,1,70,28,49,40,70,28,2,0
53,1,6,1,1,95,29,46,35,70,45,2,0
53,2,6,1,1,46,35,46,35,70,45,2,1
53,3,6,1,1,70,45,46,35,70,45,2,0
54,1,6,1,1,102,35,53,46,70,45,2,0
54,2,6,1,1,53,46,53,46,70,45,2,1
54,3,6,1,1,70,45,53,46,70,45,2,0
55,1,7,1,1,87,42,32,49,117,140,2,0
55,2,7,1,1,32,49,32,49,117,140,2,1
55,3,7,1,1,117,140,32,49,117,140,2,0
56,1,7,1,1,80,42,29,46,117,182,2,0
56,2,7,1,1,29,46,29,46,117,182,2,1
56,3,7,1,1,117,182,29,46,117,182,2,0
57,1,7,1,1,101,42,36,56,117,112,2,0
57,2,7,1,1,36,56,36,56,117,112,2,1
57,3,7,1,1,117,112,36,56,117,112,2,0
58,1,7,1,1,80,35,32,49,72,112,2,0
58,2,7,1,1,32,49,32,49,72,112,2,1
58,3,7,1,1,72,112,32,49,72,112,2,0
59,1,7,1,1,101,31,32,38,90,182,2,0
59,2,7,1,1,32,38,32,38,90,182,2,1
59,3,7,1,1,90,182,32,38,90,182,2,0
60,1,7,1,1,87,31,29,46,90,112,2,0
60,2,7,1,1,29,46,29,46,90,112,2,1
60,3,7,1,1,90,112,29,46,90,112,2,0
61,1,7,1,1,80,42,36,56,72,140,1,1
61,2,7,1,1,36,56,36,56,72,140,1,0
61,3,7,1,1,72,140,36,56,72,140,1,0
62,1,7,1,1,80,31,36,40,90,140,2,0
62,2,7,1,1,36,40,36,40,90,140,2,1
62,3,7,1,1,90,140,36,40,90,140,2,0
63,1,7,1,1,101,35,29,43,72,140,2,0
63,2,7,1,1,29,43,29,43,72,140,2,1
63,3,7,1,1,72,140,29,43,72,140,2,0
64,1,8,1,1,109,26,56,34,130,30,2,0
64,2,8,1,1,56,34,56,34,130,30,2,1
64,3,8,1,1,130,30,56,34,130,30,2,0
65,1,8,1,1,100,26,53,32,130,39,2,0
65,2,8,1,1,53,32,53,32,130,39,2,1
65,3,8,1,1,130,39,53,32,130,39,2,0
66,1,8,1,1,126,26,60,40,130,24,2,0
66,2,8,1,1,60,40,60,40,130,24,2,1
66,3,8,1,1,130,24,60,40,130,24,2,0
67,1,8,1,1,100,22,56,35,80,24,3,0
67,2,8,1,1,56,35,56,35,80,24,3,0
67,3,8,1,1,80,24,56,35,80,24,3,1
68,1,8,1,1,126,20,56,24,100,39,2,0
68,2,8,1,1,56,24,56,24,100,39,2,1
68,3,8,1,1,100,39,56,24,100,39,2,0
69,1,8,1,1,109,20,53,32,100,24,3,0
69,2,8,1,1,53,32,53,32,100,24,3,0
69,3,8,1,1,100,24,53,32,100,24,3,1
70,1,8,1,1,100,26,60,40,80,30,3,0
70,2,8,1,1,60,40,60,40,80,30,3,0
70,3,8,1,1,80,30,60,40,80,30,3,1
71,1,8,1,1,100,20,60,26,100,30,2,0
71,2,8,1,1,60,26,60,26,100,30,2,1
71,3,8,1,1,100,30,60,26,100,30,2,0
72,1,8,1,1,126,22,53,28,80,30,2,0
72,2,8,1,1,53,28,53,28,80,30,2,1
72,3,8,1,1,80,30,53,28,80,30,2,0
73,1,9,1,1,116,24,53,28,60,32,2,0
73,2,9,1,1,53,28,53,28,60,32,2,1
73,3,9,1,1,60,32,53,28,60,32,2,0
74,1,9,1,1,116,22,46,32,78,40,2,0
74,2,9,1,1,46,32,46,32,78,40,2,1
74,3,9,1,1,78,40,46,32,78,40,2,0
75,1,9,1,1,116,24,49,36,78,52,2,0
75,2,9,1,1,49,36,49,36,78,52,2,1
75,3,9,1,1,78,52,49,36,78,52,2,0
76,1,9,1,1,95,22,46,32,48,52,2,0
76,2,9,1,1,46,32,46,32,48,52,2,1
76,3,9,1,1,48,52,46,32,48,52,2,0
77,1,9,1,1,102,24,46,29,78,32,2,0
77,2,9,1,1,46,29,46,29,78,32,2,1
77,3,9,1,1,78,32,46,29,78,32,2,0
78,1,9,1,1,102,29,46,32,48,32,2,0
78,2,9,1,1,46,32,46,32,48,32,2,1
78,3,9,1,1,48,32,46,32,48,32,2,0
79,1,9,1,1,102,22,49,25,48,40,2,0
79,2,9,1,1,49,25,49,25,48,40,2,1
79,3,9,1,1,48,40,49,25,48,40,2,0
80,1,9,1,1,102,24,49,36,60,40,2,0
80,2,9,1,1,49,36,49,36,60,40,2,1
80,3,9,1,1,60,40,49,36,60,40,2,0
81,1,9,1,1,116,29,49,35,48,52,2,0
81,2,9,1,1,49,35,49,35,48,52,2,1
81,3,9,1,1,48,52,49,35,48,52,2,0
82,1,10,1,1,131,42,59,46,0,0,2,0
82,2,10,1,1,59,46,59,46,0,0,2,1
82,3,10,1,0,0,0,59,46,0,0,2,0
83,1,10,1,1,110,31,62,38,0,0,1,1
83,2,10,1,1,62,38,62,38,0,0,1,0
83,3,10,1,0,0,0,62,38,0,0,1,0
84,1,10,1,1,131,31,66,40,0,0,2,0
84,2,10,1,1,66,40,66,40,0,0,2,1
84,3,10,1,0,0,0,66,40,0,0,2,0
85,1,10,1,1,117,31,66,40,0,0,2,0
85,2,10,1,1,66,40,66,40,0,0,2,1
85,3,10,1,0,0,0,66,40,0,0,2,0
86,1,10,1,1,117,35,66,42,0,0,2,0
86,2,10,1,1,66,42,66,42,0,0,2,1
86,3,10,1,0,0,0,66,42,0,0,2,0
87,1,10,1,1,110,35,66,42,0,0,2,0
87,2,10,1,1,66,42,66,42,0,0,2,1
87,3,10,1,0,0,0,66,42,0,0,2,0
88,1,10,1,1,110,42,62,49,0,0,2,0
88,2,10,1,1,62,49,62,49,0,0,2,1
88,3,10,1,0,0,0,62,49,0,0,2,0
89,1,10,1,1,110,35,59,43,0,0,2,0
89,2,10,1,1,59,43,59,43,0,0,2,1
89,3,10,1,0,0,0,59,43,0,0,2,0
90,1,10,1,1,117,42,66,56,0,0,1,1
90,2,10,1,1,66,56,66,56,0,0,1,0
90,3,10,1,0,0,0,66,56,0,0,1,0
91,1,11,1,1,116,32,52,38,0,0,2,0
91,2,11,1,1,52,38,52,38,0,0,2,1
91,3,11,1,0,0,0,52,38,0,0,2,0
92,1,11,1,1,116,32,48,43,0,0,2,0
92,2,11,1,1,48,43,48,43,0,0,2,1
92,3,11,1,0,0,0,48,43,0,0,2,0
93,1,11,1,1,116,29,45,40,0,0,2,0
93,2,11,1,1,45,40,45,40,0,0,2,1
93,3,11,1,0,0,0,45,40,0,0,2,0
94,1,11,1,1,93,29,45,40,0,0,2,0
94,2,11,1,1,45,40,45,40,0,0,2,1
94,3,11,1,0,0,0,45,40,0,0,2,0
95,1,11,1,1,101,32,45,40,0,0,2,0
95,2,11,1,1,45,40,45,40,0,0,2,1
95,3,11,1,0,0,0,45,40,0,0,2,0
96,1,11,1,1,101,29,48,34,0,0,2,0
96,2,11,1,1,48,34,48,34,0,0,2,1
96,3,11,1,0,0,0,48,34,0,0,2,0
97,1,11,1,1,101,38,45,43,0,0,2,0
97,2,11,1,1,45,43,45,43,0,0,2,1
97,3,11,1,0,0,0,45,43,0,0,2,0
98,1,11,1,1,116,38,48,45,0,0,2,0
98,2,11,1,1,48,45,48,45,0,0,2,1
98,3,11,1,0,0,0,48,45,0,0,2,0
99,1,11,1,1,101,32,48,43,0,0,2,0
99,2,11,1,1,48,43,48,43,0,0,2,1
99,3,11,1,0,0,0,48,43,0,0,2,0
100,1,12,1,1,131,36,66,42,0,0,2,0
100,2,12,1,1,66,42,66,42,0,0,2,1
100,3,12,1,0,0,0,66,42,0,0,2,0
101,1,12,1,1,131,36,62,50,0,0,2,0
101,2,12,1,1,62,50,62,50,0,0,2,1
101,3,12,1,0,0,0,62,50,0,0,2,0
102,1,12,1,1,131,32,59,48,0,0,2,0
102,2,12,1,1,59,48,59,48,0,0,2,1
102,3,12,1,0,0,0,59,48,0,0,2,0
103,1,12,1,1,110,32,59,48,0,0,2,0
103,2,12,1,1,59,48,59,48,0,0,2,1
103,3,12,1,0,0,0,59,48,0,0,2,0
104,1,12,1,1,117,36,59,45,0,0,2,0
104,2,12,1,1,59,45,59,45,0,0,2,1
104,3,12,1,0,0,0,59,45,0,0,2,0
105,1,12,1,1,117,32,62,38,0,0,2,0
105,2,12,1,1,62,38,62,38,0,0,2,1
105,3,12,1,0,0,0,62,38,0,0,2,0
106,1,12,1,1,117,43,59,48,0,0,2,0
106,2,12,1,1,59,48,59,48,0,0,2,1
106,3,12,1,0,0,0,59,48,0,0,2,0
107,1,12,1,1,131,43,62,49,0,0,2,0
107,2,12,1,1,62,49,62,49,0,0,2,1
107,3,12,1,0,0,0,62,49,0,0,2,0
108,1,12,1,1,117,36,62,50,0,0,2,0
108,2,12,1,1,62,50,62,50,0,0,2,1
108,3,12,1,0,0,0,62,50,0,0,2,0
109,1,13,1,1,168,37,86,40,0,0,2,0
109,2,13,1,1,86,40,86,40,0,0,2,1
109,3,13,1,0,0,0,86,40,0,0,2,0
110,1,13,1,1,129,28,89,32,0,0,2,0
110,2,13,1,1,89,32,89,32,0,0,2,1
110,3,13,1,0,0,0,89,32,0,0,2,0
111,1,13,1,1,168,28,93,32,0,0,2,0
111,2,13,1,1,93,32,93,32,0,0,2,1
111,3,13,1,0,0,0,93,32,0,0,2,0
112,1,13,1,1,142,28,93,32,0,0,2,0
112,2,13,1,1,93,32,93,32,0,0,2,1
112,3,13,1,0,0,0,93,32,0,0,2,0
113,1,13,1,1,142,31,93,34,0,0,2,0
113,2,13,1,1,93,34,93,34,0,0,2,1
113,3,13,1,0,0,0,93,34,0,0,2,0
114,1,13,1,1,129,31,93,34,0,0,1,1
114,2,13,1,1,93,34,93,34,0,0,1,0
114,3,13,1,0,0,0,93,34,0,0,1,0
115,1,13,1,1,129,37,89,42,0,0,1,1
115,2,13,1,1,89,42,89,42,0,0,1,0
115,3,13,1,0,0,0,89,42,0,0,1,0
116,1,13,1,1,129,31,86,36,0,0,2,0
116,2,13,1,1,86,36,86,36,0,0,2,1
116,3,13,1,0,0,0,86,36,0,0,2,0
117,1,13,1,1,142,37,93,46,0,0,2,0
117,2,13,1,1,93,46,93,46,0,0,2,1
117,3,13,1,0,0,0,93,46,0,0,2,0
118,1,14,1,1,130,31,77,38,91,100,2,0
118,2,14,1,1,77,38,77,38,91,100,2,1
118,3,14,1,1,91,100,77,38,91,100,2,0
119,1,14,1,1,118,31,74,36,91,130,2,0
119,2,14,1,1,74,36,74,36,91,130,2,1
119,3,14,1,1,91,130,74,36,91,130,2,0
120,1,14,1,1,153,31,81,43,91,80,2,0
120,2,14,1,1,81,43,81,43,91,80,2,1
120,3,14,1,1,91,80,81,43,91,80,2,0
121,1,14,1,1,118,26,77,38,56,80,1,1
121,2,14,1,1,77,38,77,38,56,80,1,0
121,3,14,1,1,56,80,77,38,56,80,1,0
122,1,14,1,1,153,23,77,28,70,130,2,0
122,2,14,1,1,77,28,77,28,70,130,2,1
122,3,14,1,1,70,130,77,28,70,130,2,0
123,1,14,1,1,130,23,74,35,70,80,2,0
123,2,14,1,1,74,35,74,35,70,80,2,1
123,3,14,1,1,70,80,74,35,70,80,2,0
124,1,14,1,1,118,31,81,43,56,100,2,0
124,2,14,1,1,81,43,81,43,56,100,2,1
124,3,14,1,1,56,100,81,43,56,100,2,0
125,1,14,1,1,118,23,81,29,70,100,1,1
125,2,14,1,1,81,29,81,29,70,100,1,0
125,3,14,1,1,70,100,81,29,70,100,1,0
126,1,14,1,1,153,26,74,32,56,100,2,0
126,2,14,1,1,74,32,74,32,56,100,2,1
126,3,14,1,1,56,100,74,32,56,100,2,0
127,1,15,1,1,111,26,41,31,0,0,2,0
127,2,15,1,1,41,31,41,31,0,0,2,1
127,3,15,1,0,0,0,41,31,0,0,2,0
128,1,15,1,1,111,20,48,26,0,0,2,0
128,2,15,1,1,48,26,48,26,0,0,2,1
128,3,15,1,0,0,0,48,26,0,0,2,0
129,1,15,1,1,90,20,44,24,0,0,2,0
129,2,15,1,1,44,24,44,24,0,0,2,1
129,3,15,1,0,0,0,44,24,0,0,2,0
130,1,15,1,1,97,20,48,26,0,0,2,0
130,2,15,1,1,48,26,48,26,0,0,2,1
130,3,15,1,0,0,0,48,26,0,0,2,0
131,1,15,1,1,97,22,48,26,0,0,2,0
131,2,15,1,1,48,26,48,26,0,0,2,1
131,3,15,1,0,0,0,48,26,0,0,2,0
132,1,15,1,1,90,22,48,26,0,0,2,0
132,2,15,1,1,48,26,48,26,0,0,2,1
132,3,15,1,0,0,0,48,26,0,0,2,0
133,1,15,1,1,90,26,44,32,0,0,2,0
133,2,15,1,1,44,32,44,32,0,0,2,1
133,3,15,1,0,0,0,44,32,0,0,2,0
134,1,15,1,1,90,22,41,28,0,0,2,0
134,2,15,1,1,41,28,41,28,0,0,2,1
134,3,15,1,0,0,0,41,28,0,0,2,0
135,1,15,1,1,97,26,48,40,0,0,1,1
135,2,15,1,1,48,40,48,40,0,0,1,0
135,3,15,1,0,0,0,48,40,0,0,1,0
136,1,16,1,1,208,62,79,66,190,80,2,0
136,2,16,1,1,79,66,79,66,190,80,2,1
136,3,16,1,1,190,80,79,66,190,80,2,0
137,1,16,1,1,208,62,71,80,247,130,2,0
137,2,16,1,1,71,80,71,80,247,130,2,1
137,3,16,1,1,247,130,71,80,247,130,2,0
138,1,16,1,1,208,56,65,74,247,100,2,0
138,2,16,1,1,65,74,65,74,247,100,2,1
138,3,16,1,1,247,100,65,74,247,100,2,0
139,1,16,1,1,165,56,65,74,152,130,2,0
139,2,16,1,1,65,74,65,74,152,130,2,1
139,3,16,1,1,152,130,65,74,152,130,2,0
140,1,16,1,1,179,62,65,70,247,80,2,0
140,2,16,1,1,65,70,65,70,247,80,2,1
140,3,16,1,1,247,80,65,70,247,80,2,0
141,1,16,1,1,179,56,71,62,152,100,2,0
141,2,16,1,1,71,62,71,62,152,100,2,1
141,3,16,1,1,152,100,71,62,152,100,2,0
142,1,16,1,1,179,74,65,78,152,80,2,0
142,2,16,1,1,65,78,65,78,152,80,2,1
142,3,16,1,1,152,80,65,78,152,80,2,0
143,1,16,1,1,208,74,71,80,152,130,2,0
143,2,16,1,1,71,80,71,80,152,130,2,1
143,3,16,1,1,152,130,71,80,152,130,2,0
144,1,16,1,1,179,62,71,80,190,100,2,0
144,2,16,1,1,71,80,71,80,190,100,2,1
144,3,16,1,1,190,100,71,80,190,100,2,0
145,1,17,1,1,132,23,61,26,90,20,2,0
145,2,17,1,1,61,26,61,26,90,20,2,1
145,3,17,1,1,90,20,61,26,90,20,2,0
146,1,17,1,1,132,23,57,31,117,32,2,0
146,2,17,1,1,57,31,57,31,117,32,2,1
146,3,17,1,1,117,32,57,31,117,32,2,0
147,1,17,1,1,132,21,54,28,117,25,2,0
147,2,17,1,1,54,28,54,28,117,25,2,1
147,3,17,1,1,117,25,54,28,117,25,2,0
148,1,17,1,1,102,21,54,28,72,32,2,0
148,2,17,1,1,54,28,54,28,72,32,2,1
148,3,17,1,1,72,32,54,28,72,32,2,0
149,1,17,1,1,112,23,54,28,117,20,2,0
149,2,17,1,1,54,28,54,28,117,20,2,1
149,3,17,1,1,117,20,54,28,117,20,2,0
150,1,17,1,1,112,21,57,24,72,25,2,0
150,2,17,1,1,57,24,57,24,72,25,2,1
150,3,17,1,1,72,25,57,24,72,25,2,0
151,1,17,1,1,112,28,54,30,72,20,2,0
151,2,17,1,1,54,30,54,30,72,20,2,1
151,3,17,1,1,72,20,54,30,72,20,2,0
152,1,17,1,1,132,28,57,31,72,32,2,0
152,2,17,1,1,57,31,57,31,72,32,2,1
152,3,17,1,1,72,32,57,31,72,32,2,0
153,1,17,1,1,112,23,57,31,90,25,2,0
153,2,17,1,1,57,31,57,31,90,25,2,1
153,3,17,1,1,90,25,57,31,90,25,2,0
154,1,18,1,1,186,24,95,27,110,32,2,0
154,2,18,1,1,95,27,95,27,110,32,2,1
154,3,18,1,1,110,32,95,27,110,32,2,0
155,1,18,1,1,186,24,89,32,143,52,2,0
155,2,18,1,1,89,32,89,32,143,52,2,1
155,3,18,1,1,143,52,89,32,143,52,2,0
156,1,18,1,1,186,22,84,30,143,40,2,0
156,2,18,1,1,84,30,84,30,143,40,2,1
156,3,18,1,1,143,40,84,30,143,40,2,0
157,1,18,1,1,154,22,84,30,88,52,2,0
157,2,18,1,1,84,30,84,30,88,52,2,1
157,3,18,1,1,88,52,84,30,88,52,2,0
158,1,18,1,1,165,24,84,28,143,32,2,0
158,2,18,1,1,84,28,84,28,143,32,2,1
158,3,18,1,1,143,32,84,28,143,32,2,0
159,1,18,1,1,165,22,89,25,88,40,2,0
159,2,18,1,1,89,25,89,25,88,40,2,1
159,3,18,1,1,88,40,89,25,88,40,2,0
160,1,18,1,1,165,29,84,30,88,32,2,0
160,2,18,1,1,84,30,84,30,88,32,2,1
160,3,18,1,1,88,32,84,30,88,32,2,0
161,1,18,1,1,186,29,89,32,88,52,2,0
161,2,18,1,1,89,32,89,32,88,52,2,1
161,3,18,1,1,88,52,89,32,88,52,2,0
162,1,18,1,1,165,24,89,32,110,40,2,0
162,2,18,1,1,89,32,89,32,110,40,2,1
162,3,18,1,1,110,40,89,32,110,40,2,0
163,1,19,1,1,212,26,121,27,1200,10,3,0
163,2,19,1,1,121,27,121,27,1200,10,3,0
163,3,19,1,1,1200,10,121,27,1200,10,3,1
164,1,19,1,1,177,20,128,23,1560,13,1,1
164,2,19,1,1,128,23,128,23,1560,13,1,0
164,3,19,1,1,1560,13,128,23,1560,13,1,0
165,1,19,1,1,159,20,124,22,1560,8,3,0
165,2,19,1,1,124,22,124,22,1560,8,3,0
165,3,19,1,1,1560,8,124,22,1560,8,3,1
166,1,19,1,1,212,20,128,23,960,8,3,0
166,2,19,1,1,128,23,128,23,960,8,3,0
166,3,19,1,1,960,8,128,23,960,8,3,1
167,1,19,1,1,177,22,128,24,960,13,1,1
167,2,19,1,1,128,24,128,24,960,13,1,0
167,3,19,1,1,960,13,128,24,960,13,1,0
168,1,19,1,1,159,22,128,24,1560,10,1,1
168,2,19,1,1,128,24,128,24,1560,10,1,0
168,3,19,1,1,1560,10,128,24,1560,10,1,0
169,1,19,1,1,159,26,124,28,1200,8,2,0
169,2,19,1,1,124,28,124,28,1200,8,2,1
169,3,19,1,1,1200,8,124,28,1200,8,2,0
170,1,19,1,1,159,22,121,25,1200,13,2,0
170,2,19,1,1,121,25,121,25,1200,13,2,1
170,3,19,1,1,1200,13,121,25,1200,13,2,0
171,1,19,1,1,177,26,128,31,1200,13,1,1
171,2,19,1,1,128,31,128,31,1200,13,1,0
171,3,19,1,1,1200,13,128,31,1200,13,1,0
172,1,20,1,1,179,31,96,32,110,30,2,0
172,2,20,1,1,96,32,96,32,110,30,2,1
172,3,20,1,1,110,30,96,32,110,30,2,0
173,1,20,1,1,137,23,99,27,143,24,2,0
173,2,20,1,1,99,27,99,27,143,24,2,1
173,3,20,1,1,143,24,99,27,143,24,2,0
174,1,20,1,1,179,23,103,28,88,24,3,0
174,2,20,1,1,103,28,103,28,88,24,3,0
174,3,20,1,1,88,24,103,28,88,24,3,1
175,1,20,1,1,151,23,103,28,143,39,2,0
175,2,20,1,1,103,28,103,28,143,39,2,1
175,3,20,1,1,143,39,103,28,143,39,2,0
176,1,20,1,1,151,26,103,28,88,39,2,0
176,2,20,1,1,103,28,103,28,88,39,2,1
176,3,20,1,1,88,39,103,28,88,39,2,0
177,1,20,1,1,137,26,103,28,143,30,2,0
177,2,20,1,1,103,28,103,28,143,30,2,1
177,3,20,1,1,143,30,103,28,143,30,2,0
178,1,20,1,1,137,31,99,34,110,24,2,0
